id,source,target,labels,weight
c4f7b9926c2a51546181b60da4069094,"CH.ifa.draw.standard.SelectAreaTracker.mouseDown(java.awt.event.MouseEvent,int,int)","CH.ifa.draw.standard.SelectAreaTracker.mouseDown(java.awt.event.MouseEvent,int,int).e",hasParameter,1
b729cd9007b5d68aef5be22fa7562c79,CH.ifa.draw.samples.javadraw,CH.ifa.draw.samples.javadraw.PatternPainter,contains,1
b09f9233ea4583002db02171e19759e0,"CH.ifa.draw.contrib.PolygonFigure.distanceFromLine(int,int,int,int,int,int)","CH.ifa.draw.contrib.PolygonFigure.distanceFromLine(int,int,int,int,int,int).yb",hasParameter,1
c234e5564299c8691562a3a20712dd4a,CH.ifa.draw.figures.UngroupCommand,CH.ifa.draw.figures.UngroupCommand.isExecutable(),hasScript,1
d2a88e029a8416dde7d32064041d5443,"CH.ifa.draw.figures.ShortestDistanceConnector.findPoint(CH.ifa.draw.framework.ConnectionFigure,boolean)",CH.ifa.draw.framework.Connector.owner(),invokes,2
7fef6eaebf9d3832875b5a8a8dc357c9,CH.ifa.draw.figures.AttributeFigure.read(CH.ifa.draw.util.StorableInput),CH.ifa.draw.figures.FigureAttributes,instantiates,1
c7ea5ea20e03eb39169df6d4c1e99673,"CH.ifa.draw.util.Geom.range(int,int,int).max",int,type,1
024f43336148ff8029a0a3bb3d0688ab,"CH.ifa.draw.standard.ChangeConnectionStartHandle.setPoint(int,int).x",int,type,1
022925bd57f9089e9901b897649be21e,CH.ifa.draw.samples.pert.PertFigure.read(CH.ifa.draw.util.StorableInput),CH.ifa.draw.util.StorableInput.readInt(),invokes,4
f46e651fb81434b0f49d509a07d48070,CH.ifa.draw.contrib.PolygonFigure.locator(int),CH.ifa.draw.standard.AbstractLocator,instantiates,1
e5b6ba7daa38480b17e01063130ba67b,"CH.ifa.draw.standard.ConnectionTool.mouseDrag(java.awt.event.MouseEvent,int,int)","CH.ifa.draw.standard.ConnectionTool.mouseDrag(java.awt.event.MouseEvent,int,int).e",hasParameter,1
65bab26b65af481f251c4120b24698fc,CH.ifa.draw.standard.ChangeConnectionHandle.CH.ifa.draw.standard.ChangeConnectionHandle(CH.ifa.draw.framework.Figure),CH.ifa.draw.standard.AbstractHandle.CH.ifa.draw.standard.AbstractHandle(CH.ifa.draw.framework.Figure),invokes,1
