id,labels,kind,simpleName
"CH.ifa.draw.figures.EllipseFigure.basicDisplayBox(java.awt.Point,java.awt.Point)",Operation,method,"basicDisplayBox(java.awt.Point,java.awt.Point)"
"CH.ifa.draw.framework.ConnectionFigure.startPoint(int,int).x",Variable,parameter,x
CH.ifa.draw.standard.AbstractLocator.CH.ifa.draw.standard.AbstractLocator(),Constructor,ctor,CH.ifa.draw.standard.AbstractLocator()
CH.ifa.draw.standard.StandardDrawingView.handleCursorKey(int),Operation,method,handleCursorKey(int)
CH.ifa.draw.application.DrawApplication.destroy(),Operation,method,destroy()
CH.ifa.draw.standard.AbstractHandle.CH.ifa.draw.standard.AbstractHandle(CH.ifa.draw.framework.Figure).owner,Variable,parameter,owner
CH.ifa.draw.application.DrawApplication.selectionChanged(CH.ifa.draw.framework.DrawingView),Operation,method,selectionChanged(CH.ifa.draw.framework.DrawingView)
CH.ifa.draw.application.DrawApplication.paletteUserSelected(CH.ifa.draw.util.PaletteButton),Operation,method,paletteUserSelected(CH.ifa.draw.util.PaletteButton)
CH.ifa.draw.util.PaletteIcon,Structure,class,PaletteIcon
CH.ifa.draw.standard.StandardDrawingView.setDrawing(CH.ifa.draw.framework.Drawing).d,Variable,parameter,d
CH.ifa.draw.standard.RelativeLocator.read(CH.ifa.draw.util.StorableInput).dr,Variable,parameter,dr
CH.ifa.draw.standard.AbstractLocator.clone(),Operation,method,clone()
"CH.ifa.draw.standard.CompositeFigure.findFigureInside(int,int).x",Variable,parameter,x
CH.ifa.draw.util.Clipboard.getContents(),Operation,method,getContents()
"CH.ifa.draw.figures.FigureAttributes.set(java.lang.String,java.lang.Object).value",Variable,parameter,value
"CH.ifa.draw.standard.ConnectionTool.mouseDrag(java.awt.event.MouseEvent,int,int).y",Variable,parameter,y
CH.ifa.draw.standard.DecoratorFigure.figureRemoved(CH.ifa.draw.framework.FigureChangeEvent),Operation,method,figureRemoved(CH.ifa.draw.framework.FigureChangeEvent)
CH.ifa.draw.standard.FigureChangeEventMulticaster.remove(java.util.EventListener),Operation,method,remove(java.util.EventListener)
"CH.ifa.draw.util.PaletteLayout.CH.ifa.draw.util.PaletteLayout(int,java.awt.Point,boolean)",Constructor,ctor,"CH.ifa.draw.util.PaletteLayout(int,java.awt.Point,boolean)"
CH.ifa.draw.standard.AbstractFigure.displayBox(java.awt.Rectangle),Operation,method,displayBox(java.awt.Rectangle)
