id,labels,kind,simpleName
short,Primitive,,short
refactoring_guru.strategy.example.strategies.PayByPayPal.email,Variable,field,email
refactoring_guru.strategy.example.strategies.PayStrategy.collectPaymentDetails(),Operation,method,collectPaymentDetails()
byte,Primitive,,byte
refactoring_guru.strategy.example.strategies.PayByCreditCard,Structure,class,PayByCreditCard
refactoring_guru.strategy.example.strategies.PayByPayPal.DATA_BASE,Variable,field,DATA_BASE
refactoring_guru.strategy.example.strategies.PayByPayPal.READER,Variable,field,READER
"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String).number",Variable,parameter,number
int,Primitive,,int
refactoring_guru.strategy.example.Demo.main(java.lang.String[]),Operation,method,main(java.lang.String[])
refactoring_guru.strategy.example.order.Order.setClosed(),Operation,method,setClosed()
refactoring_guru.strategy.example.strategies.CreditCard.setAmount(int).amount,Variable,parameter,amount
refactoring_guru.strategy.example.strategies.PayByCreditCard.READER,Variable,field,READER
refactoring_guru.strategy.example.strategies.PayByPayPal.signedIn,Variable,field,signedIn
"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String).cvv",Variable,parameter,cvv
refactoring_guru.strategy.example.strategies.PayByCreditCard.collectPaymentDetails(),Operation,method,collectPaymentDetails()
refactoring_guru.strategy.example.strategies.PayByPayPal.de9a5bf43be7b5ef9b1217d6348543ba,Script,script,de9a5bf43be7b5ef9b1217d6348543ba
refactoring_guru.strategy.example.strategies.PayByPayPal.setSignedIn(boolean),Operation,method,setSignedIn(boolean)
java.lang.String,Structure,,String
refactoring_guru.strategy.example.Demo,Structure,class,Demo
refactoring_guru.strategy.example.strategies.CreditCard,Structure,class,CreditCard
refactoring_guru.strategy.example.strategies.PayByCreditCard.cardIsPresent(),Operation,method,cardIsPresent()
refactoring_guru.strategy.example.strategies.PayByCreditCard.pay(int),Operation,method,pay(int)
refactoring_guru.strategy.example.strategies.PayByCreditCard.pay(int).paymentAmount,Variable,parameter,paymentAmount
long,Primitive,,long
refactoring_guru.strategy.example.order.Order.totalCost,Variable,field,totalCost
refactoring_guru.strategy.example.order.Order.isClosed(),Operation,method,isClosed()
refactoring_guru.strategy.example.order.Order.setTotalCost(int),Operation,method,setTotalCost(int)
refactoring_guru.strategy.example.strategies.PayByCreditCard.card,Variable,field,card
refactoring_guru.strategy.example.strategies,Container,package,strategies
"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String).date",Variable,parameter,date
